零件号,无色标零件号,供应商号,工厂,SUPPLIER_ID,单位,运输费(原始),操作费(原始),包装费(原始),运输费(最新),运输费(服务商),操作费(最新),操作费(服务商),包装费(最新),包装费(服务商)
2GG845011,2GG845011,10007,1340,50003159,只,5.39,1.87,0.89,5.39,10007.0,1.87,10007.0,0.89,10007.0
2GG845011C,2GG845011C,10007,1340,50003159,只,5.39,1.87,0.89,5.39,10007.0,1.87,10007.0,0.89,10007.0
2GG845051E,2GG845051E,10007,1340,50003159,只,1.95,0.72,1.02,1.95,10007.0,0.72,10007.0,1.02,10007.0
2GG845051F,2GG845051F,10007,1340,50003159,只,1.95,0.72,1.02,1.95,10007.0,0.72,10007.0,1.02,10007.0
57D845021,57D845021,10007,1340,50003159,只,1.58,0.47,0.54,1.58,10007.0,0.47,10007.0,0.54,10007.0
57D845022,57D845022,10007,1340,50003159,只,1.58,0.47,0.54,1.58,10007.0,0.47,10007.0,0.54,10007.0
57D845025,57D845025,10007,1340,50003159,只,1.58,0.47,0.54,1.58,10007.0,0.47,10007.0,0.54,10007.0
57D845026,57D845026,10007,1340,50003159,只,1.58,0.47,0.54,1.58,10007.0,0.47,10007.0,0.54,10007.0
2GG810971,2GG810971,10012,1340,50003148,,,,,,,,,,
2GG810972,2GG810972,10012,1340,50003148,,,,,,,,,,
2GG863367  07N,2GG863367,10012,1340,50003148,,,,,,,,,,
2GG867769  7T8,2GG867769,10012,1340,50003148,,,,,,,,,,
575863462  CA9,575863462,10012,1340,50003148,,,,,,,,,,
19D959855  WHS,19D959855,10019,1340,50003140,,,,,,,,,,
19D959857  WHS,19D959857,10019,1340,50003140,,,,,,,,,,
57D837461,57D837461,10019,1340,50003140,,,,,,,,,,
57D837462,57D837462,10019,1340,50003140,,,,,,,,,,
57D839461,57D839461,10019,1340,50003140,,,,,,,,,,
57D839462,57D839462,10019,1340,50003140,,,,,,,,,,
57D951206B,57D951206B,10019,1340,50003140,,,,,,,,,,
